#,App name,Category,Distance value,Predict,Risk
99,maps among us for minecraft,Entertainment,0.06208494208494207,0,0
100,vimeo,Entertainment,0.07003154574132489,0,0
101,sketchbook - draw and paint,Entertainment,0.0692482915717539,0,0
102,mod for among us for mcpe,Entertainment,0.06456725755995828,0,0
103,justwatch - the streaming guide for movies & shows,Entertainment,0.07751239296980614,0,0
104,car mod for minecraft. cars addon for mcpe.,Entertainment,0.06439759745612998,0,0
105,steam,Entertainment,0.0863300492610838,0,0
106,santa claus video calling simulated,Entertainment,0.0690180157320477,0,0
107,"life advisor: baby predict, palm reader&face aging",Entertainment,0.060583572271883955,0,0
108,scanner radio - fire and police scanner,Entertainment,0.059610389610389614,0,0
109,smash diy slime - fidget slimy,Entertainment,0.06089588377723971,0,0
110,reface: face swap videos and memes with your photo,Entertainment,0.0648059454995871,0,0
111,"plex: stream free movies, shows, live tv & more",Entertainment,0.07446490791438513,0,0
112,abc – live tv & full episodes,Entertainment,0.06682215743440224,0,0
113,old movies - free classic goldies,Entertainment,0.06541461412151067,0,0
114,bitmoji,Entertainment,0.07022011221406985,0,0
115,hoyts cinema,Entertainment,0.0683342597739484,0,0
116,drink cocktails and cola from phone simulator,Entertainment,0.07317073170731704,0,0
117,lotto results - mega millions powerball lottery us,Entertainment,0.07244094488188978,0,0
118,cbs all access,Entertainment,0.0658844235846289,0,0
119,"imdb: your guide to movies, tv shows, celebrities",Entertainment,0.06055933484504911,0,0
120,"picsart color - painting, drawing & sketch",Entertainment,0.0749034749034748,0,0
121,ride on entertainment: let’s ride,Entertainment,0.08066770186335401,0,0
122,paint color : coloring games & adult coloring book,Entertainment,0.05952949198772587,0,0
123,eye art: perfect makeup artist,Entertainment,0.061434217955957056,0,0
124,one block for minecraft pe,Entertainment,0.06456725755995828,0,0
125,"free tv, free movies, entertainment, airytv",Entertainment,0.06573308270676691,0,0
126,spin the wheel - random picker,Entertainment,0.06300604932526757,0,0
127,mcpe mermaid and tail mod,Entertainment,0.05251157819736375,0,0
128,teasear - asmr meditation & slime simulator games,Entertainment,0.0680982711555959,0,0
129,remote for samsung tv | smart & wifi direct,Entertainment,0.05734549138804457,0,0
130,hair clipper-hairdressing scissors-dryer,Entertainment,0.06319082377476533,0,0
