#,App name,Category
1,30 beauty secrets for women,Beauty
2,artistry virtual beauty,Beauty
3,homemade beauty tips,Beauty
4,bob beauty lounge,Beauty
5,beauty and health tips - offline in english,Beauty
6,"clean beauty - daily care - skin, hair, face, eyes",Beauty
7,"daily beauty care - skin, hair, face, eyes",Beauty
8,hey beautiful : homemade beauty tips,Beauty
9,homemade beauty guides: facial care,Beauty
10,celebrity star hair beauty spa,Simulation
