1,health app,1,null,
2,file storage,2,1,
3,location,2,1,
4,wireless connection,2,1,
5,"email, contacts",2,1,
6,sensors,2,1,
7,camera,2,1,
8,watch,1,null,
9,location,2,8,
10,wireless connection,2,8,
